Number of scans,Number of scans before first consumer scan,Number of owners,Days since last scan,Days since manufactured,Days from manufactured to first scan,Days from manufactured to market release,Number of countries,Distance from selling point,Online selling,EU manufactured,Matching market and sale country,EU entry point,Days to expire,EU entry transport,Medicine category,Pack size,Pack type,Brand,Inspected?,Alert,Country Stamp,Suspicious level month stamp,Suspicious level year stamp,Suspicious level country stamp
2,1,7,82,94,5,5,9,805,0,0,0,10,271,Air,Anti-infective,13 to 28 doses,Box,4,0,0,28,May,2018,0
11,9,5,92,113,1,1,5,2706,0,0,0,21,206,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,5,0,0,7,Jan,2020,0
12,8,6,12,26,5,3,12,1190,0,0,0,5,335,Mail/Courier,Hormones,more than 28 doses,Bag,9,0,0,1,Jan,2020,0
12,10,5,58,90,16,15,1,2188,0,0,0,20,29,Sea,Anti-infective,13 to 28 doses,Box,3,0,0,19,Sep,2019,0
2,2,9,109,140,6,6,6,1021,0,0,0,27,267,Air,Anti-infective,more than 28 doses,Box,5,0,0,18,Jul,2021,0
7,6,5,6,8,1,1,7,37,0,0,0,11,341,Road,Genito-urinary,more than 28 doses,Bag,9,0,0,28,Sep,2019,0
13,11,4,54,62,3,3,3,4864,0,0,0,13,129,Sea,Genito-urinary,12 or less doses,Bag,7,0,0,22,Jul,2018,0
1,1,1,55,70,9,5,2,1360,0,0,0,25,160,Mail/Courier,Hormones,12 or less doses,Box,0,0,0,28,Dec,2019,0
1,1,3,12,26,0,0,1,568,0,0,0,15,286,Mail/Courier,Cytostatic,more than 28 doses,Bag,0,0,0,4,Feb,2019,0
26,17,6,92,113,20,19,2,2315,0,0,0,2,77,Mail/Courier,Genito-urinary,more than 28 doses,Box,1,1,0,18,Nov,2019,0
2,1,2,52,70,18,17,9,4229,0,0,0,15,14,Sea,Hormones,12 or less doses,Bottle,6,0,0,16,Nov,2019,0
5,3,5,43,58,9,9,0,4619,0,0,0,20,343,Sea,Genito-urinary,more than 28 doses,Bag,0,0,0,9,Nov,2019,0
20,13,9,112,151,10,10,5,3953,0,0,0,23,303,Air,Genito-urinary,13 to 28 doses,Bag,5,1,0,23,Aug,2019,0
14,7,3,51,63,9,9,14,3470,0,0,0,11,83,Air,Anti-infective,13 to 28 doses,Bottle,7,0,0,24,Sep,2018,0
4,2,6,22,28,1,1,12,2609,0,0,0,9,116,Sea,Anti-infective,more than 28 doses,Bag,9,0,0,4,Mar,2021,0
32,16,7,113,130,7,6,11,1738,0,0,0,14,210,Road,Genito-urinary,13 to 28 doses,Bag,0,0,0,17,Oct,2018,0
2,2,4,49,63,9,9,5,458,0,0,0,5,122,Mail/Courier,CNS,13 to 28 doses,Bag,2,0,0,26,Jan,2019,0
6,5,9,97,112,15,9,6,2696,0,0,0,2,129,Road,Hormones,13 to 28 doses,Bag,6,1,0,7,Sep,2020,0
22,18,3,105,142,31,19,7,1658,0,0,0,3,245,Road,CNS,12 or less doses,Bag,7,0,0,13,Apr,2019,0
23,19,2,49,66,11,7,4,1928,0,0,0,25,337,Air,Cytostatic,13 to 28 doses,Bottle,7,0,0,15,Feb,2020,0
10,5,1,48,65,0,0,9,2091,0,0,0,28,54,Mail/Courier,CNS,13 to 28 doses,Bottle,8,0,0,27,Jun,2021,0
20,17,6,60,132,7,6,6,3412,0,0,0,14,60,Air,CNS,12 or less doses,Bag,7,0,0,24,Sep,2021,0
19,16,1,119,152,7,7,12,4899,0,0,0,4,340,Mail/Courier,Cytostatic,12 or less doses,Bag,2,0,0,13,Jul,2021,0
5,4,8,43,95,7,6,10,3527,0,0,0,24,31,Air,Genito-urinary,more than 28 doses,Bottle,1,0,0,5,May,2020,0
11,9,3,64,79,1,1,9,255,0,0,0,21,328,Air,Anti-infective,more than 28 doses,Bottle,9,0,0,8,Nov,2021,0
22,18,8,110,141,28,22,1,2181,0,0,0,5,48,Air,Genito-urinary,13 to 28 doses,Bag,2,0,0,6,Jul,2018,0
4,3,3,56,64,6,6,10,2195,0,0,0,25,59,Sea,CNS,13 to 28 doses,Box,3,1,0,21,Nov,2019,0
5,3,1,101,136,23,18,8,2366,0,0,0,7,348,Air,Hormones,13 to 28 doses,Box,3,0,0,27,Jul,2019,0
16,13,3,93,107,8,8,2,1172,0,0,0,24,337,Sea,Genito-urinary,12 or less doses,Bag,5,1,0,10,Jan,2019,0
21,14,4,108,138,30,28,9,2608,0,0,0,5,335,Mail/Courier,CNS,13 to 28 doses,Bag,4,0,0,23,May,2021,0
16,13,6,24,37,9,9,14,870,0,0,0,16,206,Air,Hormones,more than 28 doses,Box,5,0,0,1,May,2019,0
9,6,2,3,4,1,1,11,940,0,0,0,6,203,Air,Genito-urinary,13 to 28 doses,Bottle,5,0,0,6,Aug,2018,0
12,10,8,94,108,14,13,0,3394,0,0,0,10,117,Sea,Genito-urinary,more than 28 doses,Bottle,1,0,0,18,Mar,2019,0
22,18,1,11,15,3,3,14,89,0,0,0,13,117,Air,Anti-infective,12 or less doses,Box,4,0,0,10,Jul,2018,0
2,1,1,26,35,0,0,12,1600,0,0,0,9,121,Road,Hormones,12 or less doses,Bottle,6,0,0,18,Jan,2019,0
17,14,3,50,57,7,7,12,4428,0,0,0,25,45,Air,Anti-infective,13 to 28 doses,Bag,7,0,0,7,May,2018,0
22,12,7,17,37,12,11,6,2147,0,0,0,14,53,Mail/Courier,Genito-urinary,12 or less doses,Box,5,0,0,23,Aug,2019,0
7,6,4,30,37,5,3,0,2980,0,0,0,9,13,Road,Anti-infective,13 to 28 doses,Box,5,0,0,13,Nov,2018,0
28,19,4,93,205,65,39,13,1424,0,0,0,28,180,Road,Anti-infective,12 or less doses,Bag,5,0,0,19,Oct,2018,0
24,16,5,0,0,0,0,5,4573,0,0,0,11,224,Mail/Courier,Cytostatic,more than 28 doses,Bag,2,0,0,27,Dec,2021,0
18,15,8,27,33,6,5,2,2935,0,0,0,10,332,Air,Anti-infective,12 or less doses,Bag,0,0,0,23,May,2019,0
23,19,1,105,134,26,25,6,1516,0,0,0,14,91,Sea,CNS,more than 28 doses,Bag,3,0,0,20,Sep,2018,0
7,4,7,114,251,8,8,11,2275,0,0,0,19,321,Sea,Genito-urinary,13 to 28 doses,Bottle,4,0,0,20,Jan,2021,0
11,9,5,59,68,0,0,5,331,0,0,0,1,205,Air,Cytostatic,13 to 28 doses,Box,5,0,0,26,Jan,2018,0
27,18,2,82,127,26,25,2,1094,0,0,0,11,285,Mail/Courier,Anti-infective,12 or less doses,Bottle,4,0,0,24,Jan,2020,0
10,8,6,20,23,3,3,5,2316,0,0,0,13,208,Air,Genito-urinary,12 or less doses,Box,3,0,0,27,Feb,2021,0
2,1,7,118,136,0,0,3,3801,0,0,0,17,266,Road,Anti-infective,12 or less doses,Bag,8,0,0,3,Nov,2021,0
11,6,3,9,20,5,3,12,3752,0,0,0,7,282,Air,Cytostatic,13 to 28 doses,Box,0,1,0,10,Dec,2019,0
19,16,4,55,70,3,3,1,4436,0,0,0,15,210,Mail/Courier,CNS,12 or less doses,Box,0,0,0,14,Feb,2020,0
28,19,9,111,150,14,13,9,4405,0,0,0,22,13,Sea,CNS,more than 28 doses,Box,5,0,0,17,Aug,2018,0
5,3,2,75,92,2,2,5,3881,0,0,0,26,40,Mail/Courier,Cytostatic,12 or less doses,Box,8,0,0,16,Jul,2021,0
18,15,4,70,90,7,7,2,116,0,0,0,23,195,Mail/Courier,Genito-urinary,13 to 28 doses,Box,5,0,0,12,Apr,2018,0
31,17,4,36,49,12,11,2,2628,0,0,0,10,358,Mail/Courier,Hormones,13 to 28 doses,Bag,8,1,0,3,Jul,2021,0
12,6,6,87,117,0,0,11,3390,0,0,0,13,268,Air,Genito-urinary,more than 28 doses,Bottle,9,0,0,8,Jan,2021,0
13,11,2,90,115,21,13,2,2977,0,0,0,24,67,Air,Anti-infective,more than 28 doses,Box,3,0,0,3,Sep,2020,0
14,12,1,74,91,16,13,11,355,0,0,0,14,269,Mail/Courier,Genito-urinary,more than 28 doses,Box,9,0,0,14,Aug,2018,0
32,16,8,82,101,2,2,6,1742,0,0,0,19,357,Road,Genito-urinary,more than 28 doses,Box,8,0,0,19,Jan,2018,0
18,15,6,21,26,5,3,3,1031,0,0,0,20,176,Air,CNS,more than 28 doses,Box,0,0,0,27,May,2020,0
4,3,1,70,80,10,8,1,1972,0,0,0,18,333,Mail/Courier,Genito-urinary,13 to 28 doses,Box,9,0,0,5,Oct,2020,0
10,5,2,14,31,3,3,12,1984,0,0,0,15,48,Mail/Courier,Genito-urinary,13 to 28 doses,Box,0,0,0,15,Oct,2019,0
34,17,9,94,120,21,20,7,884,0,0,0,26,146,Sea,CNS,13 to 28 doses,Bag,4,0,0,12,Feb,2020,0
36,18,9,83,95,5,3,12,918,0,0,0,26,126,Road,Anti-infective,more than 28 doses,Box,0,0,0,23,Apr,2021,0
18,12,8,25,55,12,11,0,4452,0,0,0,21,129,Mail/Courier,Hormones,13 to 28 doses,Bag,4,0,0,17,May,2019,0
22,15,5,80,102,17,14,6,1522,0,0,0,15,109,Sea,Genito-urinary,more than 28 doses,Box,9,0,0,22,Dec,2019,0
22,11,3,46,57,4,4,10,387,0,0,0,9,297,Air,Cytostatic,13 to 28 doses,Bag,7,0,0,27,Nov,2021,0
19,16,5,97,213,69,41,5,2233,0,0,0,24,156,Mail/Courier,Genito-urinary,13 to 28 doses,Bag,6,0,0,10,Feb,2021,0
16,9,8,66,102,12,10,0,2401,0,0,0,7,107,Mail/Courier,Hormones,more than 28 doses,Box,3,1,0,18,Jan,2019,0
29,16,9,115,178,41,39,14,4333,0,0,0,19,126,Mail/Courier,Cytostatic,more than 28 doses,Bottle,0,0,0,17,Feb,2021,0
23,19,6,89,120,29,28,11,1589,0,0,0,10,295,Road,CNS,13 to 28 doses,Box,1,0,0,18,Jul,2018,0
30,15,2,80,102,10,6,14,922,0,0,0,1,121,Sea,Genito-urinary,12 or less doses,Box,7,1,0,18,Aug,2019,0
8,7,2,6,8,0,0,8,4522,0,0,0,8,6,Mail/Courier,Anti-infective,more than 28 doses,Bottle,0,0,0,11,Mar,2018,0
14,12,8,115,253,75,60,1,3801,0,0,0,7,145,Sea,Cytostatic,more than 28 doses,Bag,3,0,0,9,Jul,2020,0
22,18,7,21,33,2,1,14,3093,0,0,0,12,200,Air,Cytostatic,12 or less doses,Bag,7,0,0,27,Jan,2020,0
20,17,6,104,120,3,2,9,3713,0,0,0,5,251,Road,Genito-urinary,more than 28 doses,Bag,0,0,0,1,Dec,2021,0
8,7,6,27,33,6,4,13,3273,0,0,0,11,112,Air,Hormones,12 or less doses,Bottle,4,0,0,3,Nov,2018,0
31,17,4,116,133,11,10,1,3552,0,0,0,15,251,Air,Genito-urinary,more than 28 doses,Bottle,7,0,0,10,Apr,2019,0
14,9,5,106,136,20,12,0,2880,0,0,0,3,239,Sea,Genito-urinary,12 or less doses,Bag,8,0,0,14,Jul,2021,0
31,17,1,61,75,7,6,3,3198,0,0,0,22,348,Mail/Courier,Anti-infective,12 or less doses,Box,4,1,0,20,Nov,2018,0
12,10,6,49,56,6,6,8,3177,0,0,0,20,6,Air,Anti-infective,more than 28 doses,Bottle,0,0,0,18,Jun,2020,0
12,10,6,14,16,1,1,5,549,0,0,0,12,75,Mail/Courier,Genito-urinary,12 or less doses,Box,3,0,0,21,Dec,2021,0
4,2,8,72,89,15,12,12,1814,0,0,0,18,327,Sea,Genito-urinary,12 or less doses,Box,7,0,0,6,May,2020,0
13,11,2,74,95,13,10,10,4077,0,0,0,11,345,Air,Anti-infective,13 to 28 doses,Bottle,7,0,0,12,Mar,2020,0
34,17,2,101,136,1,1,8,1289,0,0,0,26,73,Air,CNS,more than 28 doses,Box,3,0,0,25,Apr,2020,0
22,18,6,81,178,12,11,11,4164,0,0,0,10,44,Road,Genito-urinary,12 or less doses,Box,7,0,0,1,Sep,2020,0
11,9,7,77,95,18,11,1,3699,0,0,0,9,286,Mail/Courier,CNS,12 or less doses,Bottle,4,0,0,1,Jul,2018,0
12,10,3,54,69,4,4,8,1253,0,0,0,26,191,Mail/Courier,Genito-urinary,more than 28 doses,Bottle,3,0,0,12,Apr,2020,0
2,1,1,40,62,10,8,11,1672,0,0,0,18,351,Air,Cytostatic,12 or less doses,Bag,0,0,0,20,Sep,2021,0
22,18,6,40,49,2,2,11,1202,0,0,0,23,32,Road,CNS,more than 28 doses,Bag,6,0,0,23,Jan,2018,0
19,16,5,22,25,3,3,9,2468,0,0,0,4,184,Air,Cytostatic,13 to 28 doses,Bottle,6,0,0,20,Nov,2020,0
10,8,2,71,82,6,6,3,942,0,0,0,26,199,Road,Hormones,13 to 28 doses,Box,7,0,0,6,Sep,2020,0
2,1,5,79,91,3,3,4,1670,0,0,0,5,356,Mail/Courier,CNS,more than 28 doses,Bag,7,1,0,10,Jul,2019,0
6,3,6,24,32,7,7,12,2676,0,0,0,15,6,Mail/Courier,Hormones,more than 28 doses,Box,8,1,0,14,May,2019,0
2,1,2,40,88,29,23,8,2253,0,0,0,1,335,Road,Cytostatic,13 to 28 doses,Bottle,9,0,0,10,Apr,2018,0
28,14,2,95,128,19,15,13,1739,0,0,0,2,220,Mail/Courier,Cytostatic,13 to 28 doses,Box,7,0,0,27,Apr,2020,0
7,6,1,1,1,0,0,7,4633,0,0,0,7,137,Road,Anti-infective,more than 28 doses,Box,1,0,0,22,Aug,2020,0
30,15,8,15,18,1,1,13,283,0,0,0,3,150,Road,CNS,13 to 28 doses,Bag,2,0,0,22,Jul,2019,0
6,5,1,88,108,14,13,3,3881,0,0,0,28,119,Air,Cytostatic,more than 28 doses,Bag,4,0,0,3,Jan,2021,0
18,15,8,56,64,1,1,8,1530,0,0,0,21,293,Air,Genito-urinary,12 or less doses,Bag,3,0,0,2,Apr,2019,0
26,17,6,75,116,7,4,0,1236,0,0,0,28,65,Road,Genito-urinary,more than 28 doses,Bag,8,0,0,1,May,2018,0
34,19,7,99,153,47,38,12,3728,0,0,0,5,106,Sea,CNS,12 or less doses,Box,9,0,0,28,Mar,2018,0
25,14,4,68,150,27,26,4,3011,0,0,0,20,38,Road,Anti-infective,13 to 28 doses,Bag,7,0,0,21,Jul,2019,0
22,15,5,112,143,10,8,8,2912,0,0,0,21,340,Air,Cytostatic,more than 28 doses,Bag,1,0,0,17,Jan,2019,0
8,5,8,40,51,2,2,4,497,0,0,0,3,174,Sea,Hormones,13 to 28 doses,Bottle,0,1,0,21,Apr,2019,0
7,6,5,80,108,5,3,6,1517,0,0,0,5,263,Air,Hormones,13 to 28 doses,Bag,5,0,0,8,Jul,2018,0
23,19,4,28,34,3,2,2,552,0,0,0,28,138,Air,Anti-infective,more than 28 doses,Box,7,0,0,20,Oct,2020,0
23,19,9,29,39,3,2,5,2486,0,0,0,23,252,Sea,Genito-urinary,12 or less doses,Box,9,0,0,1,May,2019,0
2,1,3,17,22,1,1,5,2043,0,0,0,11,144,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,5,0,0,11,Jul,2019,0
4,3,6,82,127,13,12,10,4501,0,0,0,18,327,Sea,CNS,12 or less doses,Box,4,1,0,21,Apr,2018,0
2,1,8,36,46,6,6,6,3709,0,0,0,18,72,Sea,Hormones,12 or less doses,Box,7,0,0,20,Sep,2020,0
20,17,4,26,32,4,3,0,1073,0,0,0,15,196,Sea,Hormones,12 or less doses,Bag,0,0,0,13,Sep,2021,0
8,4,8,103,118,4,3,9,186,0,0,0,1,284,Sea,Hormones,12 or less doses,Bag,8,0,0,15,Jan,2021,0
2,2,8,12,14,1,1,13,2247,0,0,0,10,144,Air,Anti-infective,12 or less doses,Bottle,9,0,0,24,Sep,2018,0
8,7,2,87,117,6,4,5,3008,0,0,0,6,250,Mail/Courier,CNS,12 or less doses,Box,4,0,0,10,Aug,2020,0
14,8,5,96,211,53,50,12,4038,0,0,0,21,49,Air,Genito-urinary,13 to 28 doses,Bag,0,1,0,4,Jul,2019,0
16,9,4,113,175,40,24,0,309,0,0,0,25,262,Mail/Courier,Anti-infective,more than 28 doses,Bottle,1,0,0,21,Aug,2019,0
20,17,4,46,71,14,13,9,905,0,0,0,27,196,Air,Anti-infective,12 or less doses,Bag,7,0,0,8,Jul,2021,0
1,1,1,47,58,3,3,0,2617,0,0,0,22,36,Road,Anti-infective,more than 28 doses,Bag,9,0,0,24,Sep,2020,0
3,2,1,65,80,3,2,11,3362,0,0,0,25,11,Air,Anti-infective,more than 28 doses,Bottle,0,1,0,20,Nov,2018,0
18,15,2,44,56,3,3,1,158,0,0,0,2,54,Sea,Anti-infective,more than 28 doses,Bag,1,0,0,14,Jan,2021,0
34,17,6,118,145,16,15,13,4605,0,0,0,5,354,Sea,Cytostatic,12 or less doses,Box,0,1,0,24,Aug,2018,0
2,2,7,2,3,1,1,10,4429,0,0,0,16,192,Road,CNS,13 to 28 doses,Bag,4,0,0,6,Jun,2018,0
8,7,7,23,36,2,2,12,1248,0,0,0,14,75,Road,Cytostatic,12 or less doses,Box,6,0,0,19,May,2018,0
23,19,9,112,138,19,15,14,11,0,0,0,19,58,Road,Genito-urinary,more than 28 doses,Bag,4,0,0,20,Dec,2019,0
10,8,7,97,112,14,11,9,4449,0,0,0,20,111,Sea,CNS,13 to 28 doses,Box,8,1,0,2,Aug,2018,0
22,15,4,60,93,2,2,11,4962,0,0,0,18,217,Road,Genito-urinary,more than 28 doses,Bag,4,0,0,10,Jan,2021,0
2,1,8,8,18,6,6,12,1919,0,0,0,17,108,Sea,Hormones,more than 28 doses,Bag,5,0,0,24,Jan,2019,0
14,9,8,40,88,20,16,2,2693,0,0,0,23,192,Air,Anti-infective,13 to 28 doses,Bag,6,1,0,26,Feb,2021,0
20,17,6,69,79,8,6,14,136,0,0,0,15,244,Air,CNS,13 to 28 doses,Box,8,0,0,23,Oct,2020,0
18,9,6,45,55,9,9,4,2888,0,0,0,13,354,Air,Anti-infective,more than 28 doses,Bottle,5,1,0,20,Nov,2018,0
21,14,3,112,138,10,10,13,3333,0,0,0,24,300,Sea,Genito-urinary,more than 28 doses,Box,9,1,0,16,May,2021,0
14,9,7,55,68,0,0,11,3462,0,0,0,28,6,Sea,Anti-infective,more than 28 doses,Bag,4,1,0,5,May,2020,0
2,1,2,1,1,0,0,11,2409,0,0,0,22,248,Mail/Courier,Genito-urinary,12 or less doses,Box,9,0,0,16,Jul,2020,0
34,19,1,61,75,6,4,12,3765,0,0,0,21,82,Road,Cytostatic,12 or less doses,Bottle,2,0,0,26,Jan,2020,0
23,13,5,27,31,3,2,4,4930,0,0,0,17,240,Road,Genito-urinary,12 or less doses,Bottle,0,0,0,13,May,2018,0
23,19,7,43,58,14,8,7,3098,0,0,0,8,328,Mail/Courier,CNS,13 to 28 doses,Bottle,5,0,0,14,Dec,2020,0
34,19,5,76,93,5,4,10,2992,0,0,0,14,23,Road,Cytostatic,13 to 28 doses,Bottle,5,0,0,7,Jul,2019,0
28,19,5,38,84,9,5,10,4983,0,0,0,19,305,Sea,CNS,more than 28 doses,Box,0,0,0,8,Jan,2020,0
14,12,1,106,136,0,0,10,2687,0,0,0,8,70,Mail/Courier,Genito-urinary,13 to 28 doses,Bag,5,0,0,7,Jan,2019,0
6,3,5,71,156,35,33,10,3878,0,0,0,11,147,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,0,0,0,14,Feb,2021,0
19,16,1,74,91,4,4,2,2038,0,0,0,28,151,Mail/Courier,Hormones,13 to 28 doses,Bag,7,0,0,28,Apr,2019,0
1,1,1,27,42,6,6,11,4079,0,0,0,14,293,Road,Hormones,more than 28 doses,Bottle,1,1,0,5,Aug,2019,0
4,3,7,84,103,14,11,5,4130,0,0,0,12,38,Sea,Anti-infective,12 or less doses,Box,5,0,0,12,Mar,2020,0
14,8,1,86,116,5,5,13,972,0,0,0,9,252,Air,Genito-urinary,12 or less doses,Box,8,0,0,17,Nov,2020,0
10,7,4,53,72,10,10,14,1870,0,0,0,21,52,Road,Hormones,13 to 28 doses,Box,3,0,0,23,Dec,2019,0
23,19,1,81,93,12,11,4,1953,0,0,0,10,230,Road,Genito-urinary,more than 28 doses,Bag,7,0,0,9,Sep,2019,0
14,12,5,72,112,23,18,10,428,0,0,0,14,176,Air,Anti-infective,more than 28 doses,Bag,3,0,0,16,Jul,2018,0
22,15,8,53,61,7,7,0,2393,0,0,0,23,131,Mail/Courier,Hormones,more than 28 doses,Bottle,3,0,0,15,Jan,2021,0
9,6,9,17,37,5,5,13,3381,0,0,0,1,299,Road,Hormones,12 or less doses,Bottle,1,0,0,16,Aug,2019,0
18,15,2,64,141,8,5,14,2820,0,0,0,14,122,Air,Anti-infective,13 to 28 doses,Bottle,9,0,0,6,Dec,2019,0
10,8,3,67,86,12,11,10,4404,0,0,0,4,120,Air,Cytostatic,more than 28 doses,Bag,5,0,0,11,Dec,2020,0
18,12,7,92,118,4,4,5,3465,0,0,0,26,323,Mail/Courier,Cytostatic,12 or less doses,Bottle,8,0,0,20,Jul,2018,0
2,1,1,86,189,32,26,6,4622,0,0,0,8,54,Air,Genito-urinary,more than 28 doses,Bag,5,1,0,27,Feb,2019,0
25,14,3,105,121,8,8,9,2987,0,0,0,17,130,Road,Hormones,more than 28 doses,Bag,7,0,0,10,Jul,2020,0
32,18,3,23,28,5,5,13,430,0,0,0,22,104,Mail/Courier,Hormones,13 to 28 doses,Bottle,0,0,0,9,Jul,2020,0
24,16,7,10,16,2,2,14,168,0,0,0,18,171,Sea,Hormones,13 to 28 doses,Bottle,3,0,0,12,Jul,2021,0
1,1,7,72,89,14,13,3,1078,0,0,0,14,1,Sea,Anti-infective,12 or less doses,Box,4,0,0,23,Aug,2021,0
14,8,3,99,122,15,14,7,1998,0,0,0,13,231,Mail/Courier,CNS,more than 28 doses,Bottle,0,0,0,22,May,2020,0
27,18,7,86,99,9,9,5,3817,0,0,0,20,161,Road,CNS,more than 28 doses,Bag,7,0,0,22,May,2020,0
8,5,2,34,44,6,6,5,4685,0,0,0,23,237,Sea,Genito-urinary,more than 28 doses,Box,2,0,0,16,Feb,2018,0
20,17,7,41,64,9,9,13,4726,0,0,0,12,340,Sea,Hormones,more than 28 doses,Bag,5,0,0,7,Sep,2018,0
2,1,8,69,88,12,10,1,758,0,0,0,6,93,Sea,Anti-infective,13 to 28 doses,Bottle,9,0,0,8,Dec,2020,0
19,16,9,59,80,20,12,9,1546,0,0,0,1,95,Sea,Hormones,more than 28 doses,Bag,2,0,0,19,May,2020,0
9,6,7,115,178,5,5,12,3954,0,0,0,6,49,Road,Anti-infective,more than 28 doses,Bottle,0,0,0,22,Jul,2019,0
9,6,4,94,116,20,19,2,122,0,0,0,27,285,Sea,Genito-urinary,more than 28 doses,Box,5,0,0,19,Nov,2019,0
2,1,6,33,41,3,3,10,545,0,0,0,14,186,Sea,Genito-urinary,12 or less doses,Bottle,8,0,0,21,Jan,2018,0
18,15,9,82,180,68,65,9,3261,0,0,0,20,227,Mail/Courier,CNS,12 or less doses,Bottle,8,0,0,9,Nov,2018,0
38,19,5,48,61,10,8,11,4502,0,0,0,15,117,Air,Cytostatic,12 or less doses,Bag,2,0,0,23,Nov,2019,0
10,7,9,12,15,3,2,7,4909,0,0,0,26,77,Air,Anti-infective,13 to 28 doses,Bottle,3,0,0,6,Sep,2019,0
5,3,2,57,88,29,17,13,4106,0,0,0,16,36,Sea,Cytostatic,12 or less doses,Bag,4,0,0,20,Mar,2019,0
15,10,6,47,58,9,7,3,2890,0,0,0,22,184,Air,Anti-infective,12 or less doses,Bottle,7,1,0,20,Sep,2021,0
11,9,1,102,117,12,11,13,1443,0,0,0,20,160,Mail/Courier,Anti-infective,12 or less doses,Bottle,6,0,0,11,Apr,2020,0
11,6,3,91,123,24,14,13,4433,0,0,0,24,49,Sea,Cytostatic,more than 28 doses,Box,8,0,0,5,Sep,2021,0
5,3,6,57,77,8,8,12,2830,0,0,0,12,190,Road,Anti-infective,12 or less doses,Bottle,3,0,0,25,May,2021,0
23,19,9,102,224,78,74,10,363,0,0,0,18,277,Sea,Cytostatic,more than 28 doses,Bottle,8,1,0,2,Apr,2019,0
11,6,9,109,140,13,8,0,657,0,0,0,1,214,Mail/Courier,Cytostatic,13 to 28 doses,Bottle,4,0,0,27,Apr,2018,0
13,7,8,32,39,6,6,10,1448,0,0,0,10,190,Mail/Courier,Genito-urinary,12 or less doses,Box,5,0,0,11,Dec,2021,0
14,12,9,78,96,13,12,7,4411,0,0,0,13,359,Air,Genito-urinary,13 to 28 doses,Bottle,1,0,0,17,Nov,2019,0
4,3,6,27,59,8,8,11,3610,0,0,0,28,161,Sea,Genito-urinary,more than 28 doses,Bottle,5,0,0,16,Mar,2021,0
9,6,7,84,97,1,1,7,2848,0,0,0,4,307,Road,Cytostatic,more than 28 doses,Bag,1,0,0,27,Jan,2018,0
16,8,8,107,166,50,40,13,2919,0,0,0,15,66,Air,CNS,12 or less doses,Bag,0,0,0,18,Sep,2018,0
11,9,3,3,3,0,0,7,743,0,0,0,14,265,Road,Anti-infective,13 to 28 doses,Box,5,1,0,8,Dec,2020,0
14,9,9,62,79,16,10,8,1771,0,0,0,25,94,Sea,Hormones,12 or less doses,Box,2,0,0,3,Mar,2019,0
6,5,3,0,0,0,0,12,4769,0,0,0,23,179,Sea,CNS,more than 28 doses,Box,6,0,0,2,Nov,2020,0
9,5,2,97,119,13,10,14,781,0,0,0,19,285,Sea,Hormones,more than 28 doses,Box,4,0,0,23,Jul,2020,0
13,7,9,30,38,2,2,8,3019,0,0,0,11,43,Mail/Courier,Genito-urinary,12 or less doses,Bottle,9,0,0,15,Jan,2021,0
4,3,4,15,19,1,1,3,1068,0,0,0,5,165,Mail/Courier,Hormones,12 or less doses,Bottle,0,0,0,28,Jan,2020,0
4,3,1,24,53,14,13,1,923,0,0,0,21,194,Sea,Genito-urinary,more than 28 doses,Box,7,0,0,7,Dec,2018,0
18,12,5,56,76,15,14,1,1520,0,0,0,2,83,Air,Genito-urinary,12 or less doses,Bottle,7,1,0,10,Sep,2021,0
22,12,7,93,126,28,27,4,2704,0,0,0,2,331,Mail/Courier,Anti-infective,13 to 28 doses,Bottle,1,1,0,10,Dec,2019,0
7,6,3,108,138,1,1,1,1523,0,0,0,4,32,Mail/Courier,Cytostatic,more than 28 doses,Bag,4,0,0,15,Nov,2021,0
16,11,2,110,141,6,6,1,4510,0,0,0,25,259,Air,Cytostatic,12 or less doses,Bottle,6,0,0,26,Dec,2019,0
12,8,5,93,126,13,8,4,498,0,0,0,7,324,Road,Anti-infective,12 or less doses,Bottle,9,0,0,5,Dec,2021,0
11,6,7,19,24,1,1,9,1503,0,0,0,9,219,Road,CNS,more than 28 doses,Bag,0,0,0,25,Apr,2020,0
10,7,7,54,73,1,1,3,1147,0,0,0,14,241,Air,Cytostatic,13 to 28 doses,Bag,9,0,0,25,Dec,2020,0
28,19,7,17,20,3,2,2,1199,0,0,0,14,265,Mail/Courier,Genito-urinary,12 or less doses,Bottle,6,0,0,15,Aug,2019,0
14,8,3,24,28,4,4,10,4184,0,0,0,22,276,Mail/Courier,Genito-urinary,more than 28 doses,Bag,4,1,0,22,Sep,2018,0
8,2,5,99,212,107,86,4,158,1,1,1,5,18,Road,Hormones,13 to 28 doses,Box,0,0,100,6,Feb,2018,6
12,3,3,118,218,66,46,3,586,0,0,0,6,5,Air,Hormones,more than 28 doses,Box,4,0,100,13,Sep,2020,13
24,6,1,95,178,7,6,4,617,1,1,1,1,6,Air,Hormones,13 to 28 doses,Box,0,0,100,6,Aug,2020,6
10,6,4,60,118,21,17,3,118,1,1,0,2,13,Mail/Courier,CNS,13 to 28 doses,Bottle,1,0,100,15,Sep,2019,15
48,12,2,123,243,72,50,2,675,1,0,0,2,19,Air,CNS,13 to 28 doses,Bag,2,0,100,18,Nov,2020,18
